iter	Passed	Remaining
0	167	167119
1	169	84578
2	171	56877
3	173	43201
4	175	34918
5	177	29356
6	178	25312
7	179	22262
8	180	19912
9	181	17996
10	182	16435
11	183	15132
12	184	14014
13	185	13070
14	186	12256
15	187	11541
16	188	10910
17	189	10343
18	190	9846
19	192	9413
20	192	8994
21	193	8622
22	194	8273
23	195	7963
24	196	7674
25	197	7407
26	198	7153
27	200	6947
28	201	6730
29	202	6541
30	203	6351
31	204	6175
32	205	6009
33	205	5851
34	206	5702
35	207	5564
36	208	5434
37	209	5314
38	210	5196
39	211	5080
40	212	4970
41	213	4872
42	214	4784
43	215	4692
44	217	4606
45	218	4522
46	218	4438
47	219	4357
48	220	4280
49	221	4207
50	222	4137
51	223	4068
52	223	4002
53	224	3941
54	225	3882
55	226	3824
56	227	3767
57	228	3713
58	229	3662
59	230	3613
60	231	3564
61	232	3519
62	233	3472
63	234	3426
64	235	3382
65	235	3339
66	236	3296
67	237	3257
68	238	3217
69	239	3180
70	240	3143
71	241	3107
72	241	3072
73	242	3037
74	243	3004
75	244	2975
76	245	2946
77	246	2915
78	247	2885
79	248	2857
80	249	2829
81	250	2804
82	251	2773
83	251	2747
84	252	2721
85	253	2694
86	254	2669
87	255	2646
88	256	2621
89	257	2598
90	257	2576
91	258	2554
92	259	2532
93	260	2511
94	261	2491
95	262	2470
96	263	2450
97	264	2429
98	264	2409
99	265	2390
100	266	2370
101	267	2351
102	267	2333
103	268	2315
104	269	2297
105	270	2279
106	271	2262
107	271	2245
108	272	2228
109	273	2212
110	274	2196
111	275	2181
112	276	2167
113	276	2152
114	277	2137
115	278	2122
116	279	2107
117	280	2093
118	280	2079
119	281	2065
120	282	2051
121	283	2037
122	283	2023
123	284	2010
124	285	1998
125	286	1985
126	286	1972
127	287	1959
128	288	1947
129	289	1935
130	290	1925
131	291	1915
132	292	1904
133	292	1893
134	293	1882
135	294	1871
136	295	1860
137	296	1849
138	296	1839
139	297	1828
140	298	1818
141	298	1806
142	299	1796
143	300	1786
144	301	1776
145	302	1767
